,id,level,display_name,works_count,llm_annotation,multiple_level_0_ancestors
0,C33923547,0,Mathematics,3349781,Mathematics,Mathematics
1,C145420912,1,Mathematics education,1816044,Mathematics,"Mathematics,Psychology"
2,C202444582,1,Pure mathematics,872395,Mathematics,Mathematics
3,C28826006,1,Applied mathematics,829214,Mathematics,Mathematics
4,C9652623,2,Field (mathematics),732231,Mathematics,Mathematics
5,C105795698,1,Statistics,730919,Mathematics,Mathematics
6,C134306372,1,Mathematical analysis,650845,Mathematics,Mathematics
7,C38349280,2,Flow (mathematics),597729,Mathematics,"Mathematics,Physics"
8,C158622935,2,Nonlinear system,591618,Mathematics,"Engineering,Mathematics,Physics"
9,C61511704,2,Incidence (geometry),582770,Mathematics,"Mathematics,Physics"
10,C110121322,2,Distribution (mathematics),552150,Mathematics,Mathematics
11,C114614502,1,Combinatorics,496290,Mathematics,Mathematics
12,C126255220,1,Mathematical optimization,470307,Mathematics,Mathematics
13,C2776291640,2,Value (mathematics),469662,Mathematics,"Computer science,Mathematics"
14,C90673727,2,Product (mathematics),446033,Mathematics,Mathematics
15,C2776799497,2,Surface (topology),444557,Mathematics,Mathematics
16,C2778755073,2,Scale (ratio),434802,Mathematics,"Geography,Physics"
17,C104779481,2,Composite number,356972,Mathematics,"Computer science,Materials science,Mathematics"
18,C115961682,2,Image (mathematics),332850,Mathematics,"Computer science,Mathematics"
19,C136119220,2,Algebra over a field,330902,Mathematics,Mathematics
20,C198352243,2,Line (geometry),294388,Mathematics,Mathematics
21,C111335779,2,Reduction (mathematics),292870,Mathematics,Mathematics
22,C2779463800,2,Center (category theory),273058,Mathematics,"Chemistry,Mathematics"
23,C2780428219,2,Cover (algebra),267643,Mathematics,"Engineering,Mathematics"
24,C156957248,2,Odds ratio,257613,Mathematics,"Mathematics,Medicine"
25,C44249647,2,Confidence interval,239950,Mathematics,"Mathematics,Medicine"
26,C2776542497,2,Development (topology),235200,Mathematics,Mathematics
27,C61797465,2,Term (time),206768,Mathematics,Physics
28,C96250715,2,Estimation,198831,Mathematics,"Economics,Engineering"
29,C2776760102,3,Code (set theory),196618,Mathematics,Computer science
30,C132525143,2,Graph,195234,Mathematics,"Computer science,Mathematics"
31,C118615104,1,Discrete mathematics,187702,Mathematics,Mathematics
32,C151956035,2,Logistic regression,187182,Mathematics,"Computer science,Mathematics,Medicine"
33,C2524010,1,Geometry,175615,Mathematics,Mathematics
34,C113174947,2,Tree (set theory),168094,Mathematics,Mathematics
35,C185429906,2,Estimator,167707,Mathematics,Mathematics
36,C100776233,2,Bridge (graph theory),166306,Mathematics,"Biology,Medicine"
37,C90805587,2,Word (group theory),165630,Mathematics,"Mathematics,Philosophy"
38,C16345878,2,Orientation (vector space),165102,Mathematics,Mathematics
39,C77618280,2,Scheme (mathematics),162019,Mathematics,Mathematics
40,C2777210771,2,Block (permutation group theory),150316,Mathematics,Mathematics
41,C48753275,2,Numerical analysis,148796,Mathematics,Mathematics
42,C117220453,2,Correlation,143714,Mathematics,Mathematics
