index_i,index_j,prerequisite,timestamp
0,1,0,2024-10-30 22:37:37
0,2,-2,2024-10-30 22:37:39
0,3,1,2024-10-30 22:37:39
0,4,0,2024-10-30 22:37:40
0,5,-1,2024-10-30 22:37:41
0,6,-2,2024-10-30 22:37:42
0,7,0,2024-10-30 22:37:42
0,8,0,2024-10-30 22:37:43
0,9,0,2024-10-30 22:37:44
0,10,-2,2024-10-30 22:37:44
0,11,0,2024-10-30 22:37:45
0,12,0,2024-10-30 22:37:46
0,13,0,2024-10-30 22:37:47
0,14,0,2024-10-30 22:37:47
0,15,0,2024-10-30 22:37:48
0,16,0,2024-10-30 22:37:49
0,17,0,2024-10-30 22:37:49
0,18,0,2024-10-30 22:37:51
0,19,0,2024-10-30 22:37:52
0,20,0,2024-10-30 22:37:52
0,21,0,2024-10-30 22:37:53
0,22,0,2024-10-30 22:45:22
0,23,0,2024-10-30 22:45:23
0,24,0,2024-10-30 22:45:24
0,25,0,2024-10-30 22:45:25
0,26,0,2024-10-30 22:45:25
0,27,0,2024-10-30 22:45:26
0,28,0,2024-10-30 22:46:27
0,29,-2,2024-10-30 22:46:29
0,30,0,2024-10-30 22:46:29
0,31,0,2024-10-30 22:46:30
0,32,0,2024-10-30 22:46:31
0,33,0,2024-10-30 22:46:31
0,34,0,2024-10-30 22:46:32
0,35,0,2024-10-30 22:46:33
0,36,0,2024-10-30 22:46:33
0,37,0,2024-10-30 22:46:34
0,38,0,2024-10-30 22:46:35
0,39,0,2024-10-30 22:46:35
0,40,0,2024-10-30 22:46:36
0,41,0,2024-10-30 22:46:37
0,42,-2,2024-10-30 22:46:38
0,43,0,2024-10-30 22:46:38
0,44,0,2024-10-30 22:46:39
0,45,0,2024-10-30 22:46:40
0,46,-1,2024-10-30 22:46:40
0,47,0,2024-10-30 22:46:41
0,48,0,2024-10-30 22:46:42
0,49,0,2024-10-30 22:46:43
0,50,0,2024-10-30 22:46:43
0,51,0,2024-10-30 22:46:44
0,52,0,2024-10-30 22:46:45
0,53,0,2024-10-30 22:46:45
0,54,0,2024-10-30 22:46:46
0,55,0,2024-10-30 22:46:47
0,56,-1,2024-10-30 22:46:47
0,57,0,2024-10-30 22:46:48
0,58,0,2024-10-30 22:46:49
0,59,-2,2024-10-30 22:46:49
0,60,0,2024-10-30 22:46:50
0,61,0,2024-10-30 22:46:51
0,62,-1,2024-10-30 22:46:52
0,63,0,2024-10-30 22:46:52
0,64,-2,2024-10-30 22:46:53
0,65,0,2024-10-30 22:46:54
0,66,-2,2024-10-30 22:46:54
0,67,-1,2024-10-30 22:46:55
0,68,0,2024-10-30 22:46:56
0,69,-2,2024-10-30 22:46:57
0,70,0,2024-10-30 22:46:57
0,71,0,2024-10-30 22:46:58
0,72,0,2024-10-30 22:46:59
0,73,0,2024-10-30 22:46:59
0,74,0,2024-10-30 22:47:00
0,75,-2,2024-10-30 22:47:01
0,76,0,2024-10-30 22:47:02
0,77,-2,2024-10-30 22:47:02
0,78,-1,2024-10-30 22:47:03
0,79,-2,2024-10-30 22:47:04
0,80,-2,2024-10-30 22:47:04
0,81,0,2024-10-30 22:47:05
0,82,0,2024-10-30 22:47:06
0,83,0,2024-10-30 22:47:06
0,84,0,2024-10-30 22:47:07
0,85,-2,2024-10-30 22:47:08
0,86,0,2024-10-30 22:47:08
0,87,-2,2024-10-30 22:47:09
0,88,-2,2024-10-30 22:47:10
0,89,0,2024-10-30 22:47:10
0,90,0,2024-10-30 22:47:11
0,91,0,2024-10-30 22:47:11
0,92,0,2024-10-30 22:47:13
0,93,0,2024-10-30 22:47:14
0,94,0,2024-10-30 22:47:14
0,95,-2,2024-10-30 22:47:16
0,96,0,2024-10-30 22:47:16
0,97,-2,2024-10-30 22:47:17
0,98,-2,2024-10-30 22:47:17
0,99,0,2024-10-30 22:47:18
0,100,0,2024-10-30 22:47:19
0,101,0,2024-10-30 22:47:20
0,102,0,2024-10-30 22:47:21
0,103,0,2024-10-30 22:47:21
0,104,0,2024-10-30 22:47:22
0,105,0,2024-10-30 22:47:23
0,106,0,2024-10-30 22:47:23
0,107,-1,2024-10-30 22:47:24
0,108,0,2024-10-30 22:47:25
0,109,0,2024-10-30 22:47:25
0,110,0,2024-10-30 22:47:26
0,111,-2,2024-10-30 22:47:27
0,112,0,2024-10-30 22:47:28
0,113,0,2024-10-30 22:47:29
0,114,0,2024-10-30 22:47:29
0,115,-2,2024-10-30 22:47:30
0,116,0,2024-10-30 22:47:30
0,117,0,2024-10-30 22:47:31
0,118,0,2024-10-30 22:47:32
0,119,0,2024-10-30 22:47:32
0,120,0,2024-10-30 22:47:33
0,121,0,2024-10-30 22:47:34
0,122,-1,2024-10-30 22:47:35
0,123,-2,2024-10-30 22:47:36
0,124,0,2024-10-30 22:47:37
0,125,-2,2024-10-30 22:47:38
0,126,0,2024-10-30 22:47:39
0,127,-2,2024-10-30 22:47:40
0,128,0,2024-10-30 22:47:41
0,129,0,2024-10-30 22:47:41
0,130,0,2024-10-30 22:47:42
0,131,-2,2024-10-30 22:47:43
0,132,0,2024-10-30 22:47:44
0,133,0,2024-10-30 22:47:45
0,134,-2,2024-10-30 22:47:46
0,135,0,2024-10-30 22:47:47
0,136,0,2024-10-30 22:47:48
0,137,0,2024-10-30 22:47:49
0,138,0,2024-10-30 22:47:50
0,139,0,2024-10-30 22:47:51
0,140,0,2024-10-30 22:47:53
0,141,0,2024-10-30 22:47:54
0,142,0,2024-10-30 22:47:54
0,143,0,2024-10-30 22:47:55
0,144,0,2024-10-30 22:47:56
0,145,-2,2024-10-30 22:47:58
0,146,-2,2024-10-30 22:48:00
0,147,0,2024-10-30 22:48:00
0,148,0,2024-10-30 22:48:01
0,149,-2,2024-10-30 22:48:02
0,150,0,2024-10-30 22:48:02
0,151,-2,2024-10-30 22:48:03
0,152,0,2024-10-30 22:48:04
0,153,0,2024-10-30 22:48:06
0,154,0,2024-10-30 22:48:06
0,155,0,2024-10-30 22:48:11
0,156,0,2024-10-30 22:48:13
0,157,0,2024-10-30 22:48:14
0,158,0,2024-10-30 22:48:15
0,159,-2,2024-10-30 22:48:17
0,160,0,2024-10-30 22:48:18
0,161,0,2024-10-30 22:48:21
0,162,-2,2024-10-30 22:48:21
0,163,0,2024-10-30 22:48:24
0,164,0,2024-10-30 22:48:25
0,165,0,2024-10-30 22:48:25
0,166,0,2024-10-30 22:48:30
0,167,0,2024-10-30 22:48:31
0,168,0,2024-10-30 22:48:32
0,169,0,2024-10-30 22:48:32
0,170,0,2024-10-30 22:48:33
0,171,0,2024-10-30 22:48:38
0,172,0,2024-10-30 22:48:38
0,173,0,2024-10-30 22:48:39
0,174,0,2024-10-30 22:48:40
0,175,0,2024-10-30 22:48:41
0,176,0,2024-10-30 22:48:42
0,177,-2,2024-10-30 22:48:43
0,178,-2,2024-10-30 22:48:43
0,179,0,2024-10-30 22:48:44
0,180,0,2024-10-30 22:48:45
0,181,0,2024-10-30 22:48:46
0,182,0,2024-10-30 22:48:47
0,183,0,2024-10-30 22:48:48
0,184,0,2024-10-30 22:48:48
0,185,0,2024-10-30 22:48:50
0,186,0,2024-10-30 22:48:51
0,187,0,2024-10-30 22:48:52
0,188,0,2024-10-30 22:48:55
0,189,-2,2024-10-30 22:48:55
0,190,0,2024-10-30 22:49:00
0,191,0,2024-10-30 22:49:01
0,192,0,2024-10-30 22:49:02
0,193,0,2024-10-30 22:49:02
0,194,0,2024-10-30 22:49:05
0,195,-1,2024-10-30 22:49:08
0,196,-2,2024-10-30 22:49:09
0,197,-1,2024-10-30 22:49:10
0,198,-2,2024-10-30 22:49:10
0,199,0,2024-10-30 22:49:11
0,200,0,2024-10-30 22:49:12
0,201,-2,2024-10-30 22:49:12
0,202,0,2024-10-30 22:49:15
0,203,-2,2024-10-30 22:49:15
0,204,0,2024-10-30 22:49:18
0,205,0,2024-10-30 22:49:19
0,206,0,2024-10-30 22:49:21
0,207,0,2024-10-30 22:49:24
0,208,-2,2024-10-30 22:49:24
0,209,0,2024-10-30 22:49:27
0,210,0,2024-10-30 22:49:29
0,211,-2,2024-10-30 22:49:30
0,212,0,2024-10-30 22:49:33
0,213,0,2024-10-30 22:49:34
0,214,0,2024-10-30 22:49:39
0,215,0,2024-10-30 22:49:40
0,216,-2,2024-10-30 22:49:41
0,217,0,2024-10-30 22:55:32
0,218,0,2024-10-30 22:55:38
0,219,0,2024-10-30 22:55:39
0,220,-2,2024-10-30 22:55:39
0,221,-2,2024-10-30 22:55:40
0,222,0,2024-10-30 22:55:41
0,223,0,2024-10-30 22:55:43
0,224,0,2024-10-30 22:55:44
0,225,0,2024-10-30 22:55:45
0,226,1,2024-10-30 22:55:45
0,227,0,2024-10-30 22:55:46
0,228,0,2024-10-30 22:55:47
0,229,0,2024-10-30 22:55:50
0,230,0,2024-10-30 22:55:50
0,231,-2,2024-10-30 22:55:51
0,232,-2,2024-10-30 22:55:52
0,233,0,2024-10-30 22:55:52
0,234,0,2024-10-30 22:55:53
0,235,-2,2024-10-30 22:55:54
0,236,0,2024-10-30 22:55:55
0,237,0,2024-10-30 22:55:56
0,238,0,2024-10-30 22:55:56
0,239,0,2024-10-30 22:55:57
0,240,-2,2024-10-30 22:56:03
0,241,0,2024-10-30 22:56:03
0,242,0,2024-10-30 22:56:04
0,243,-1,2024-10-30 22:56:04
0,244,0,2024-10-30 22:56:05
0,245,0,2024-10-30 22:56:06
0,246,0,2024-10-30 22:56:06
0,247,-2,2024-10-30 22:56:07
0,248,0,2024-10-30 22:56:10
0,249,0,2024-10-30 22:56:13
0,250,0,2024-10-30 22:56:15
0,251,0,2024-10-30 22:56:16
0,252,0,2024-10-30 22:56:17
0,253,0,2024-10-30 22:56:17
0,254,0,2024-10-30 22:56:25
0,255,0,2024-10-30 22:56:29
0,256,0,2024-10-30 22:56:29
0,257,0,2024-10-30 22:56:30
0,258,-2,2024-10-30 22:56:31
0,259,-2,2024-10-30 22:56:31
0,260,0,2024-10-30 22:56:32
0,261,0,2024-10-30 22:56:38
0,262,0,2024-10-30 22:56:39
0,263,0,2024-10-30 22:56:39
0,264,0,2024-10-30 22:56:46
0,265,-2,2024-10-30 22:56:47
0,266,0,2024-10-30 22:56:52
0,267,-1,2024-10-30 22:56:53
0,268,0,2024-10-30 22:56:56
0,269,0,2024-10-30 22:57:04
0,270,0,2024-10-30 22:57:04
0,271,0,2024-10-30 22:57:05
0,272,0,2024-10-30 22:57:05
0,273,0,2024-10-30 22:57:07
0,274,0,2024-10-30 22:57:08
0,275,0,2024-10-30 22:57:09
0,276,-2,2024-10-30 22:57:10
0,277,0,2024-10-30 22:57:11
0,278,0,2024-10-30 22:57:14
0,279,0,2024-10-30 22:57:16
0,280,0,2024-10-30 22:57:17
0,281,0,2024-10-30 22:57:17
0,282,0,2024-10-30 22:57:20
0,283,0,2024-10-30 22:57:28
0,284,0,2024-10-30 22:57:30
0,285,0,2024-10-30 22:57:30
0,286,0,2024-10-30 22:57:31
0,287,0,2024-10-30 22:57:32
0,288,0,2024-10-30 22:57:33
0,289,0,2024-10-30 22:57:36
0,290,0,2024-10-30 22:57:38
0,291,-2,2024-10-30 22:57:39
0,292,0,2024-10-30 22:57:41
0,293,0,2024-10-30 22:57:46
0,294,-2,2024-10-30 22:57:48
0,295,-2,2024-10-30 22:57:53
0,296,0,2024-10-30 22:57:54
0,297,-2,2024-10-30 22:57:56
0,298,0,2024-10-30 22:58:06
