index_i,index_j,prerequisite,timestamp
0,1,0,2024-10-29 20:06:53
0,2,-2,2024-10-29 20:06:54
0,3,-2,2024-10-29 20:06:56
0,4,0,2024-10-29 20:06:57
0,5,-1,2024-10-29 20:06:59
0,6,-2,2024-10-29 20:07:02
0,7,0,2024-10-29 20:07:06
0,8,0,2024-10-29 20:07:12
0,9,0,2024-10-29 20:07:17
0,10,-2,2024-10-29 20:07:22
0,11,0,2024-10-29 20:07:27
0,12,0,2024-10-29 20:07:31
0,13,0,2024-10-29 20:07:38
0,14,0,2024-10-29 20:07:43
0,15,0,2024-10-29 20:07:46
0,16,0,2024-10-29 20:07:49
0,17,0,2024-10-29 20:07:53
0,18,0,2024-10-29 20:07:56
0,19,0,2024-10-29 20:08:00
0,20,0,2024-10-29 20:08:04
0,21,0,2024-10-29 20:08:08
0,22,0,2024-10-29 20:08:12
0,23,0,2024-10-29 20:08:17
0,24,0,2024-10-29 20:08:21
0,25,0,2024-10-29 20:08:24
0,26,0,2024-10-29 20:08:28
0,27,0,2024-10-29 20:08:33
0,28,0,2024-10-29 20:08:37
0,29,-2,2024-10-29 20:08:41
0,30,0,2024-10-29 20:08:47
0,31,0,2024-10-29 20:08:52
0,32,0,2024-10-29 20:08:55
0,33,0,2024-10-29 20:09:02
0,34,0,2024-10-29 20:09:05
0,35,0,2024-10-29 20:09:10
0,36,0,2024-10-29 20:09:13
0,37,0,2024-10-29 20:09:26
0,38,0,2024-10-29 20:09:30
0,39,0,2024-10-29 20:09:34
0,40,0,2024-10-29 20:09:39
0,41,0,2024-10-29 20:09:45
0,42,-2,2024-10-29 20:09:52
0,43,0,2024-10-29 20:09:58
0,44,0,2024-10-29 20:10:02
0,45,0,2024-10-29 20:10:05
0,46,-1,2024-10-29 20:10:09
0,47,0,2024-10-29 20:10:13
0,48,0,2024-10-29 20:10:16
0,49,0,2024-10-29 20:10:19
0,50,0,2024-10-29 20:10:24
0,51,0,2024-10-29 20:10:27
0,52,0,2024-10-29 20:10:33
0,53,0,2024-10-29 20:10:35
0,54,0,2024-10-29 20:10:39
0,55,0,2024-10-29 20:10:43
0,56,-1,2024-10-29 20:10:47
0,57,0,2024-10-29 20:10:50
0,58,0,2024-10-29 20:10:54
0,59,-1,2024-10-29 20:10:57
0,60,-2,2024-10-29 20:11:02
0,61,0,2024-10-29 20:11:05
0,62,-1,2024-10-29 20:11:09
0,63,0,2024-10-29 20:11:13
0,64,0,2024-10-29 20:11:19
0,65,0,2024-10-29 20:12:27
0,66,-2,2024-10-29 20:12:31
0,67,-2,2024-10-29 20:12:34
0,68,0,2024-10-29 20:12:38
0,69,-2,2024-10-29 20:12:44
0,70,0,2024-10-29 20:12:48
0,71,0,2024-10-29 20:12:55
0,72,0,2024-10-29 20:12:59
0,73,0,2024-10-29 20:13:02
0,74,0,2024-10-29 20:13:06
0,75,-2,2024-10-29 20:13:09
0,76,0,2024-10-29 20:13:15
0,77,-2,2024-10-29 20:13:19
0,78,-2,2024-10-29 20:13:22
0,79,-2,2024-10-29 20:13:27
0,80,0,2024-10-29 20:13:31
0,81,0,2024-10-29 20:13:35
0,82,0,2024-10-29 20:13:38
0,83,0,2024-10-29 20:13:42
0,84,0,2024-10-29 20:13:46
