index_i,index_j,gpt-4o,claude-3-5-sonnet-20240620,ERNIE-3.5-8K-0701,qwen-plus,Spark4.0-Ultra,majority_vote,confidence
0,1,0,0,0,0,0,0,1.0
0,2,-2,-2,-2,-2,-1,-2,0.8
0,3,1,-2,1,1,-1,1,0.6
0,4,0,0,0,0,0,0,1.0
0,5,-1,-1,-1,-2,-1,-1,0.8
0,6,0,-2,-2,-2,0,-2,0.6
0,7,0,0,0,0,0,0,1.0
0,8,0,0,0,0,0,0,1.0
0,9,0,0,0,0,0,0,1.0
0,10,0,-2,-2,-2,-2,-2,0.8
0,11,0,0,0,0,0,0,1.0
0,12,0,0,0,0,0,0,1.0
0,13,0,0,0,0,0,0,1.0
0,14,0,0,0,0,0,0,1.0
0,15,0,0,0,0,0,0,1.0
0,16,0,0,0,0,0,0,1.0
0,17,0,0,0,0,-2,0,0.8
0,18,0,0,0,0,0,0,1.0
0,19,0,0,0,0,0,0,1.0
0,20,0,0,0,0,0,0,1.0
0,21,0,0,0,0,0,0,1.0
0,22,0,0,0,0,0,0,1.0
0,23,0,0,0,0,0,0,1.0
0,24,0,0,0,0,0,0,1.0
0,25,0,0,0,0,0,0,1.0
0,26,0,0,0,0,0,0,1.0
0,27,0,0,0,0,0,0,1.0
0,28,0,0,0,0,0,0,1.0
0,29,-2,-2,-2,-2,-1,-2,0.8
0,30,0,0,0,0,0,0,1.0
0,31,0,0,0,0,0,0,1.0
0,32,0,0,0,0,0,0,1.0
0,33,0,0,0,0,0,0,1.0
0,34,0,0,0,0,0,0,1.0
0,35,0,0,0,0,0,0,1.0
0,36,0,0,0,0,0,0,1.0
0,37,0,0,0,0,0,0,1.0
0,38,0,0,0,0,0,0,1.0
0,39,0,0,0,0,0,0,1.0
0,40,0,0,0,0,0,0,1.0
0,41,0,0,0,0,0,0,1.0
0,42,-2,-2,-2,-2,-1,-2,0.8
0,43,0,0,0,0,-2,0,0.8
0,44,0,0,0,0,0,0,1.0
0,45,0,0,0,0,0,0,1.0
0,46,-1,-1,-1,-2,-1,-1,0.8
0,47,0,0,0,0,0,0,1.0
0,48,0,0,0,0,0,0,1.0
0,49,0,0,0,0,0,0,1.0
0,50,0,0,0,0,0,0,1.0
0,51,0,0,0,0,0,0,1.0
0,52,0,0,0,0,-2,0,0.8
0,53,0,0,0,0,0,0,1.0
0,54,0,0,0,0,0,0,1.0
0,55,0,0,0,0,0,0,1.0
0,56,-1,-1,-1,-1,-1,-1,1.0
0,57,0,0,0,0,0,0,1.0
0,58,0,0,0,0,0,0,1.0
0,59,0,-1,-2,0,-1,0,0.4
0,60,1,-2,0,-2,-2,-2,0.6
0,61,0,0,0,0,0,0,1.0
0,62,-1,-1,-1,-1,-1,-1,1.0
0,63,0,0,0,0,0,0,1.0
0,64,0,0,-2,0,0,0,0.8
0,65,0,0,0,0,0,0,1.0
0,66,0,-2,-2,0,-1,0,0.4
0,67,-2,-2,-1,-2,-1,-2,0.6
0,68,0,0,0,0,0,0,1.0
0,69,-2,-2,-2,-2,-1,-2,0.8
0,70,0,0,0,0,0,0,1.0
0,71,0,0,0,0,0,0,1.0
0,72,0,0,0,0,0,0,1.0
0,73,0,0,0,0,0,0,1.0
0,74,0,0,0,0,0,0,1.0
0,75,0,-2,-2,-2,-1,-2,0.6
0,76,0,0,0,0,0,0,1.0
0,77,0,-2,-2,-2,-2,-2,0.8
0,78,-1,-2,-1,-2,-1,-1,0.6
0,79,0,-2,-2,-2,-2,-2,0.8
0,80,0,0,-2,0,-1,0,0.6
0,81,0,0,0,0,0,0,1.0
0,82,0,0,0,0,0,0,1.0
0,83,0,0,0,0,0,0,1.0
0,84,0,0,0,0,0,0,1.0
0,85,0,-2,-2,-2,-2,-2,0.8
0,86,0,0,0,0,0,0,1.0
0,87,-2,-2,-2,-2,-1,-2,0.8
0,88,-2,-2,-2,-2,0,-2,0.8
0,89,0,0,0,0,0,0,1.0
0,90,0,0,0,0,0,0,1.0
0,91,0,0,0,0,0,0,1.0
0,92,0,0,0,0,0,0,1.0
0,93,0,0,0,0,0,0,1.0
0,94,0,0,0,0,0,0,1.0
0,95,0,-2,-2,-2,0,-2,0.6
0,96,0,0,0,0,0,0,1.0
0,97,0,0,-2,0,0,0,0.8
0,98,0,-2,-2,0,0,0,0.6
0,99,0,0,0,0,0,0,1.0
0,100,0,0,0,0,0,0,1.0
0,101,0,0,0,0,0,0,1.0
0,102,0,0,0,0,0,0,1.0
0,103,0,0,0,0,0,0,1.0
0,104,0,0,0,0,0,0,1.0
0,105,0,0,0,0,0,0,1.0
0,106,0,0,0,0,0,0,1.0
0,107,-1,-1,-1,-1,-1,-1,1.0
0,108,0,0,0,0,0,0,1.0
0,109,0,0,0,0,0,0,1.0
0,110,0,0,0,0,0,0,1.0
0,111,-2,-2,-2,-2,-1,-2,0.8
0,112,0,0,0,0,0,0,1.0
0,113,0,0,0,0,0,0,1.0
0,114,0,0,0,0,0,0,1.0
0,115,-1,-1,-2,-2,-1,-1,0.6
0,116,0,0,0,0,0,0,1.0
0,117,0,0,0,0,0,0,1.0
0,118,0,0,0,0,0,0,1.0
0,119,0,0,0,0,0,0,1.0
0,120,0,0,0,0,0,0,1.0
0,121,0,0,0,0,0,0,1.0
0,122,-1,-1,-1,-1,-1,-1,1.0
0,123,-2,-2,-2,-2,-2,-2,1.0
0,124,0,0,0,0,0,0,1.0
0,125,-2,-2,-2,-2,-1,-2,0.8
0,126,0,0,0,0,0,0,1.0
0,127,0,-2,-2,-2,-2,-2,0.8
0,128,0,0,0,0,0,0,1.0
0,129,0,0,0,0,0,0,1.0
0,130,0,0,0,0,0,0,1.0
0,131,0,0,-2,0,0,0,0.8
0,132,0,0,0,0,0,0,1.0
0,133,0,0,0,0,0,0,1.0
0,134,0,-2,-2,-2,0,-2,0.6
0,135,0,0,0,0,0,0,1.0
0,136,0,0,0,0,0,0,1.0
0,137,0,0,0,0,0,0,1.0
0,138,0,0,0,0,0,0,1.0
0,139,0,0,0,0,0,0,1.0
0,140,0,0,0,0,0,0,1.0
0,141,0,0,0,-2,-2,0,0.6
0,142,0,0,0,0,0,0,1.0
0,143,0,0,0,0,0,0,1.0
0,144,0,0,0,0,0,0,1.0
0,145,0,-2,-2,-2,-1,-2,0.6
0,146,0,0,-2,0,0,0,0.8
0,147,0,0,0,0,0,0,1.0
0,148,0,0,0,0,0,0,1.0
0,149,0,0,-2,0,0,0,0.8
0,150,0,0,0,0,0,0,1.0
0,151,0,0,-2,0,0,0,0.8
0,152,0,0,0,0,0,0,1.0
0,153,0,0,0,0,0,0,1.0
0,154,0,0,0,0,0,0,1.0
0,155,0,0,0,0,0,0,1.0
0,156,0,0,0,0,0,0,1.0
0,157,0,0,0,0,0,0,1.0
0,158,0,0,0,0,0,0,1.0
0,159,-2,-2,-2,-2,-1,-2,0.8
0,160,0,0,0,0,0,0,1.0
0,161,0,0,0,0,0,0,1.0
0,162,0,0,-2,0,0,0,0.8
0,163,0,0,0,0,0,0,1.0
0,164,0,0,0,0,0,0,1.0
0,165,0,0,0,0,0,0,1.0
0,166,0,0,0,0,-2,0,0.8
0,167,0,0,0,0,0,0,1.0
0,168,0,0,0,0,0,0,1.0
0,169,0,0,0,0,0,0,1.0
0,170,0,0,0,0,0,0,1.0
0,171,0,0,0,0,0,0,1.0
0,172,0,0,0,0,0,0,1.0
0,173,0,0,0,0,0,0,1.0
0,174,0,0,0,0,0,0,1.0
0,175,0,0,0,0,0,0,1.0
0,176,0,0,0,0,0,0,1.0
0,177,0,0,-2,0,0,0,0.8
0,178,0,-2,-2,-2,-2,-2,0.8
0,179,0,0,0,0,0,0,1.0
0,180,0,0,0,0,0,0,1.0
0,181,0,0,0,0,0,0,1.0
0,182,-2,-2,0,0,-1,0,0.4
0,183,0,0,0,0,0,0,1.0
0,184,0,0,0,0,0,0,1.0
0,185,0,0,0,0,0,0,1.0
0,186,0,0,0,0,0,0,1.0
0,187,0,0,0,0,0,0,1.0
0,188,0,0,0,0,0,0,1.0
0,189,-2,-2,-2,-2,-1,-2,0.8
0,190,0,0,0,0,0,0,1.0
0,191,0,0,0,0,0,0,1.0
0,192,0,0,0,0,0,0,1.0
0,193,0,0,0,0,0,0,1.0
0,194,0,0,0,0,0,0,1.0
0,195,-1,-1,-1,-2,-1,-1,0.8
0,196,-1,-1,-2,-2,-1,-1,0.6
0,197,-1,-1,-1,-2,-1,-1,0.8
0,198,0,0,-2,0,0,0,0.8
0,199,0,0,0,0,0,0,1.0
0,200,0,0,0,0,0,0,1.0
0,201,0,-2,-2,-2,-2,-2,0.8
0,202,0,0,0,0,0,0,1.0
0,203,0,-2,-2,-2,0,-2,0.6
0,204,0,0,0,0,0,0,1.0
0,205,0,0,0,0,0,0,1.0
0,206,0,0,0,0,0,0,1.0
0,207,0,0,0,0,0,0,1.0
0,208,0,0,-2,0,0,0,0.8
0,209,0,0,0,0,0,0,1.0
0,210,0,0,0,0,0,0,1.0
0,211,0,-2,-2,-2,0,-2,0.6
0,212,0,0,0,0,0,0,1.0
0,213,0,0,0,0,0,0,1.0
0,214,0,0,0,0,0,0,1.0
0,215,0,0,0,0,0,0,1.0
0,216,-2,-2,-2,-2,-1,-2,0.8
0,217,0,0,0,0,0,0,1.0
0,218,0,0,0,0,0,0,1.0
0,219,0,0,0,0,-2,0,0.8
0,220,-2,-2,-2,-2,-2,-2,1.0
0,221,0,-2,-2,-2,0,-2,0.6
0,222,0,0,0,0,0,0,1.0
0,223,0,0,0,0,0,0,1.0
0,224,0,0,0,0,0,0,1.0
0,225,0,0,0,0,0,0,1.0
0,226,-2,-2,1,-2,-1,-2,0.6
0,227,0,0,0,0,-2,0,0.8
0,228,0,0,0,0,0,0,1.0
0,229,0,0,0,0,0,0,1.0
0,230,0,0,0,0,0,0,1.0
0,231,0,0,-2,-2,-2,-2,0.6
0,232,0,-2,-2,-2,-2,-2,0.8
0,233,0,0,0,0,0,0,1.0
0,234,0,0,0,0,0,0,1.0
0,235,0,0,-2,0,-2,0,0.6
0,236,0,0,0,0,0,0,1.0
0,237,0,0,0,0,0,0,1.0
0,238,0,0,0,0,0,0,1.0
0,239,0,0,0,0,0,0,1.0
0,240,0,-2,-2,-2,-2,-2,0.8
0,241,0,-2,0,-2,-2,-2,0.6
0,242,0,0,0,0,0,0,1.0
0,243,-1,-1,-1,-1,-1,-1,1.0
0,244,0,0,0,0,0,0,1.0
0,245,0,0,0,0,0,0,1.0
0,246,0,0,0,0,0,0,1.0
0,247,0,-2,-2,-2,0,-2,0.6
0,248,0,0,0,0,-2,0,0.8
0,249,0,0,0,0,0,0,1.0
0,250,0,0,0,0,0,0,1.0
0,251,0,0,0,0,0,0,1.0
0,252,0,0,0,0,0,0,1.0
0,253,0,0,0,0,0,0,1.0
0,254,0,0,0,0,0,0,1.0
0,255,0,0,0,0,0,0,1.0
0,256,0,0,0,0,0,0,1.0
0,257,0,0,0,0,0,0,1.0
0,258,0,-2,-2,-2,-2,-2,0.8
0,259,0,0,-2,0,0,0,0.8
0,260,0,0,0,0,0,0,1.0
0,261,0,0,0,0,0,0,1.0
0,262,0,0,0,0,0,0,1.0
0,263,0,0,0,0,0,0,1.0
0,264,0,0,0,0,0,0,1.0
0,265,0,-2,-2,-2,-2,-2,0.8
0,266,0,0,0,0,-2,0,0.8
0,267,-1,-1,-1,-2,-1,-1,0.8
0,268,0,0,0,0,0,0,1.0
0,269,0,0,0,0,0,0,1.0
0,270,0,0,0,0,0,0,1.0
0,271,0,0,0,0,0,0,1.0
0,272,0,0,0,0,0,0,1.0
0,273,0,0,0,0,0,0,1.0
0,274,0,0,0,0,0,0,1.0
0,275,0,0,0,0,0,0,1.0
0,276,0,-2,-2,0,0,0,0.6
0,277,0,0,0,0,0,0,1.0
0,278,0,0,0,0,0,0,1.0
0,279,0,0,0,0,0,0,1.0
0,280,0,0,0,0,0,0,1.0
0,281,0,0,0,0,0,0,1.0
0,282,0,0,0,0,0,0,1.0
0,283,0,0,0,0,0,0,1.0
0,284,0,0,0,0,0,0,1.0
0,285,0,0,0,0,0,0,1.0
0,286,0,0,0,0,0,0,1.0
0,287,0,0,0,0,0,0,1.0
0,288,0,0,0,0,0,0,1.0
0,289,0,0,0,0,0,0,1.0
0,290,0,0,0,0,0,0,1.0
0,291,0,-2,-2,-2,-2,-2,0.8
0,292,0,0,0,0,0,0,1.0
0,293,0,0,0,0,0,0,1.0
0,294,-1,-1,-2,0,-1,-1,0.6
0,295,0,0,-2,-2,0,0,0.6
0,296,0,0,0,0,0,0,1.0
0,297,0,0,-2,0,-2,0,0.6
0,298,0,0,0,0,0,0,1.0
0,299,0,0,0,0,0,0,1.0
0,300,0,0,0,0,0,0,1.0
0,301,0,-2,-2,0,-2,-2,0.6
0,302,0,0,0,0,0,0,1.0
1,2,0,0,0,0,0,0,1.0
1,3,0,0,0,0,-2,0,0.8
1,4,0,0,0,0,-2,0,0.8
1,5,0,-2,0,-2,-2,-2,0.6
1,6,0,0,0,0,0,0,1.0
1,7,0,0,0,0,0,0,1.0
1,8,0,0,0,0,-2,0,0.8
1,9,0,0,0,0,0,0,1.0
1,10,1,-2,1,1,1,1,0.8
1,11,0,-2,1,-2,-2,-2,0.6
1,12,0,0,0,0,0,0,1.0
1,13,0,0,0,0,-2,0,0.8
1,14,0,0,0,0,0,0,1.0
1,15,0,0,0,0,0,0,1.0
1,16,1,-2,1,-2,1,1,0.6
1,17,0,0,-2,0,-2,0,0.6
1,18,0,0,0,0,0,0,1.0
1,19,0,0,0,0,0,0,1.0
1,20,0,0,0,0,0,0,1.0
1,21,0,0,0,0,0,0,1.0
1,22,0,0,0,0,0,0,1.0
1,23,0,0,0,0,0,0,1.0
1,24,0,0,0,0,0,0,1.0
1,25,1,-2,1,1,1,1,0.8
1,26,0,0,0,0,0,0,1.0
1,27,0,0,0,0,0,0,1.0
1,28,0,0,0,0,0,0,1.0
1,29,0,0,0,0,0,0,1.0
1,30,0,0,0,0,0,0,1.0
1,31,0,0,0,0,0,0,1.0
1,32,0,0,0,0,0,0,1.0
1,33,0,0,0,0,0,0,1.0
1,34,0,0,0,0,0,0,1.0
1,35,0,0,0,0,0,0,1.0
1,36,0,0,0,0,0,0,1.0
1,37,0,0,0,0,0,0,1.0
1,38,0,0,-2,0,0,0,0.8
1,39,0,-2,-2,-2,-1,-2,0.6
1,40,0,0,-2,0,0,0,0.8
1,41,0,0,-2,0,0,0,0.8
1,42,0,0,0,0,0,0,1.0
1,43,0,0,0,0,0,0,1.0
1,44,0,0,0,0,0,0,1.0
1,45,0,-2,-2,0,0,0,0.6
1,46,0,0,0,0,0,0,1.0
1,47,0,0,0,0,0,0,1.0
1,48,0,0,0,0,0,0,1.0
1,49,0,0,0,0,0,0,1.0
1,50,0,0,0,0,0,0,1.0
1,51,-2,-2,1,-2,-1,-2,0.6
1,52,0,-2,1,0,0,0,0.6
1,53,0,0,-2,0,0,0,0.8
1,54,0,0,0,0,0,0,1.0
1,55,0,-2,-1,-2,-1,-1,0.6
1,56,0,0,0,0,0,0,1.0
1,57,0,0,0,0,0,0,1.0
1,58,0,0,0,0,0,0,1.0
1,59,0,0,-2,0,0,0,0.8
1,60,1,-2,1,-2,-2,-2,0.6
1,61,0,0,-2,0,0,0,0.8
1,62,-2,-2,-2,-2,0,-2,0.8
1,63,0,0,0,0,0,0,1.0
1,64,0,0,-2,0,0,0,0.8
1,65,0,0,0,0,0,0,1.0
1,66,0,0,0,0,-2,0,0.8
1,67,0,0,0,0,0,0,1.0
1,68,0,0,0,0,0,0,1.0
1,69,0,0,0,0,0,0,1.0
1,70,0,0,-2,-2,0,0,0.6
1,71,0,0,0,0,0,0,1.0
1,72,0,0,0,0,0,0,1.0
1,73,0,0,0,0,0,0,1.0
1,74,0,0,0,0,0,0,1.0
1,75,0,0,-2,0,-2,0,0.6
1,76,0,0,1,-2,-2,0,0.4
1,77,0,0,0,0,0,0,1.0
1,78,0,0,0,0,0,0,1.0
1,79,0,0,0,0,0,0,1.0
1,80,0,0,-2,0,0,0,0.8
1,81,0,0,0,0,-2,0,0.8
1,82,1,-2,1,-2,0,1,0.6
1,83,0,0,0,0,0,0,1.0
1,84,0,0,-2,0,0,0,0.8
1,85,-2,-2,-2,-2,1,-2,0.8
1,86,0,0,0,0,0,0,1.0
1,87,0,0,0,0,0,0,1.0
1,88,0,-2,-2,-2,0,-2,0.6
1,89,0,0,-2,0,-2,0,0.6
1,90,0,-2,-2,-2,0,-2,0.6
1,91,1,-2,1,1,1,1,0.8
1,92,0,0,0,0,-2,0,0.8
1,93,0,0,0,0,0,0,1.0
1,94,0,0,0,0,0,0,1.0
1,95,0,0,0,0,0,0,1.0
1,96,0,0,0,0,0,0,1.0
1,97,0,0,-2,0,-2,0,0.6
1,98,0,0,0,0,0,0,1.0
1,99,0,0,0,0,0,0,1.0
1,100,0,0,0,0,0,0,1.0
1,101,1,-2,1,-2,-2,-2,0.6
1,102,0,0,-2,0,0,0,0.8
1,103,0,0,0,0,0,0,1.0
1,104,0,0,0,0,0,0,1.0
1,105,0,0,0,0,0,0,1.0
1,106,0,0,0,0,0,0,1.0
1,107,0,0,0,0,0,0,1.0
1,108,0,0,0,0,0,0,1.0
1,109,0,0,0,0,0,0,1.0
1,110,1,-2,1,-2,-2,-2,0.6
1,111,0,0,0,0,0,0,1.0
1,112,1,-2,1,-2,1,1,0.6
1,113,0,0,0,0,0,0,1.0
1,114,0,0,-2,0,-2,0,0.6
1,115,0,0,0,0,0,0,1.0
1,116,0,0,-2,0,0,0,0.8
1,117,0,0,1,-2,0,0,0.6
1,118,0,0,0,0,0,0,1.0
1,119,0,0,0,0,0,0,1.0
1,120,0,0,0,0,0,0,1.0
1,121,0,-2,-2,-2,-2,-2,0.8
1,122,0,0,0,0,0,0,1.0
1,123,1,-2,1,-2,1,1,0.6
1,124,0,0,0,0,0,0,1.0
1,125,0,0,-2,0,0,0,0.8
1,126,0,0,0,0,0,0,1.0
1,127,0,0,0,0,0,0,1.0
1,128,0,0,0,0,-2,0,0.8
1,129,0,-2,0,0,0,0,0.8
1,130,0,0,0,0,0,0,1.0
1,131,0,0,-2,0,0,0,0.8
1,132,0,0,-2,0,-2,0,0.6
1,133,0,0,-2,0,0,0,0.8
1,134,0,0,0,0,0,0,1.0
1,135,0,0,0,0,0,0,1.0
1,136,0,-2,-2,-2,0,-2,0.6
1,137,0,-2,-2,-2,-2,-2,0.8
1,138,0,0,0,0,0,0,1.0
1,139,0,0,0,0,0,0,1.0
1,140,1,-2,1,-2,1,1,0.6
1,141,0,0,0,0,0,0,1.0
1,142,0,0,0,0,0,0,1.0
1,143,0,0,0,0,0,0,1.0
1,144,-2,-2,1,-2,1,-2,0.6
1,145,0,0,0,0,0,0,1.0
1,146,0,-2,-2,-2,-2,-2,0.8
1,147,0,0,-2,0,0,0,0.8
1,148,0,0,0,0,0,0,1.0
1,149,0,0,-2,0,0,0,0.8
1,150,0,0,0,0,0,0,1.0
1,151,0,0,0,0,0,0,1.0
1,152,0,0,0,0,0,0,1.0
1,153,0,0,0,0,-2,0,0.8
1,154,-1,-1,-1,-1,-1,-1,1.0
1,155,0,0,0,0,-2,0,0.8
1,156,0,0,-2,-2,-2,-2,0.6
1,157,0,0,0,0,0,0,1.0
1,158,0,0,0,0,0,0,1.0
1,159,0,0,0,0,0,0,1.0
1,160,0,0,0,0,0,0,1.0
1,161,0,0,0,0,0,0,1.0
1,162,0,0,0,0,0,0,1.0
1,163,0,0,0,0,0,0,1.0
1,164,0,0,0,0,0,0,1.0
