,author_id
0,A1000009205
1,A100000977
2,A1000041814
3,A100004360
4,A1000047157
5,A100004867
6,A10000739
7,A1000078211
8,A100007836
9,A100008412
10,A1000087202
11,A1000090264
12,A100009804
13,A1000121904
14,A100012312
15,A1000134538
16,A1000145103
17,A1000155019
18,A1000163473
19,A100017046
20,A100018398
21,A1000195838
22,A1000197587
23,A1000218909
24,A100022822
25,A10002373
26,A1000246904
27,A100025731
28,A100026767
29,A100026995
30,A1000272649
31,A100027360
32,A10002840
33,A100028439
34,A100028492
35,A100028883
36,A100029177
37,A100029472
38,A1000296526
39,A1000298871
40,A1000301072
41,A100030249
42,A1000307658
43,A100030954
44,A100031290
45,A100032625
46,A1000344976
47,A100034978
48,A100035654
49,A100035833
50,A1000376321
51,A100039162
52,A1000398086
53,A100040122
54,A100040874
55,A100042365
56,A100043250
57,A1000435454
58,A1000440557
59,A1000441957
60,A1000448776
61,A1000470164
62,A1000472135
63,A100047651
64,A100047904
65,A100047927
66,A1000480299
67,A1000482616
68,A100048945
69,A1000489732
70,A100049798
71,A1000505297
72,A1000510329
73,A1000524593
74,A1000524891
75,A100053497
76,A1000537532
77,A1000538852
78,A1000543041
79,A100055197
80,A1000552306
81,A1000557104
82,A100055899
83,A1000560044
84,A100056094
85,A100056215
86,A100056358
87,A100057183
88,A100057396
89,A100058214
90,A1000603431
91,A1000606666
92,A1000606828
93,A1000608010
94,A1000616819
95,A100063229
96,A1000650457
97,A1000651248
98,A1000653126
99,A1000658163
100,A100066398
101,A1000664900
102,A1000672246
103,A1000675022
104,A100068375
105,A1000685635
106,A1000686954
107,A1000687321
108,A100068845
109,A100070613
110,A100070724
111,A1000708777
112,A100071971
113,A1000740521
114,A1000744202
115,A1000754005
116,A1000762969
117,A1000795857
118,A1000796371
119,A10008213
120,A1000824558
121,A1000826546
122,A100083570
123,A100084674
124,A100085637
125,A1000860538
126,A100086330
127,A100086562
128,A100088751
129,A100088952
130,A1000902119
131,A1000918211
132,A1000925801
133,A100092708
134,A1000929867
135,A1000938090
136,A1000939450
137,A100094010
138,A1000942398
139,A100094378
140,A1000948314
141,A100096230
142,A100096821
143,A100096851
144,A100097190
145,A100098229
146,A1000995576
147,A100099671
148,A100100232
149,A100100618
150,A100100952
151,A1001014709
152,A100101649
153,A100104968
154,A1001072001
155,A1001075312
156,A10010787
157,A100110539
158,A1001106451
159,A100111044
160,A1001114090
161,A100112866
162,A100112964
163,A100113190
164,A1001144731
165,A1001152610
166,A1001158452
167,A100117232
168,A1001212573
169,A1001220856
170,A1001221020
171,A100122504
172,A1001228971
173,A1001247403
174,A1001252949
175,A1001254298
176,A1001265741
177,A100127729
178,A100129042
179,A1001293053
180,A100129766
181,A1001302507
182,A1001315263
183,A1001317570
184,A100131828
185,A100132740
186,A100133662
187,A1001338385
188,A1001339623
189,A1001340074
190,A100135577
191,A100136606
192,A1001369858
193,A1001373396
194,A1001377290
195,A1001378740
196,A1001380329
197,A1001399431
198,A100140315
199,A100140326
200,A100141050
201,A1001430303
202,A100143114
203,A1001444461
204,A100145097
205,A100146058
206,A1001464273
207,A1001467222
208,A1001469939
209,A100148356
210,A1001492976
211,A10014939
212,A100149407
213,A100149472
214,A1001501602
215,A1001501651
216,A100150327
217,A100151255
218,A100151595
219,A1001549430
220,A100155170
221,A1001570515
222,A100157064
223,A100157334
224,A1001586357
225,A1001592568
226,A100159745
227,A1001603762
228,A100160811
229,A1001613356
230,A100161402
231,A10016308
232,A1001630844
233,A1001641738
234,A1001653766
235,A100165468
236,A1001657634
237,A1001659882
238,A1001663456
239,A1001664223
240,A1001668284
241,A100167829
242,A1001681302
243,A100168145
244,A1001697831
245,A1001699548
246,A1001730647
247,A100173188
248,A1001733086
249,A1001733843
250,A100173739
251,A100173911
252,A100174395
253,A100175536
254,A100176519
255,A1001772039
256,A100177637
257,A1001777304
258,A1001798964
259,A1001802190
260,A10018131
261,A10018159
262,A1001832753
263,A1001840625
264,A100186507
265,A1001866835
266,A1001875608
267,A100187835
268,A100188034
269,A100188563
270,A100189513
271,A1001896223
272,A100189930
273,A1001911475
274,A1001914788
275,A1001919447
276,A100192107
277,A100193323
278,A100193568
279,A1001944946
280,A100195423
281,A100195645
282,A1001964620
283,A1001969896
284,A1001977431
285,A1001979675
286,A1001979684
287,A1002007197
288,A1002016736
289,A100201992
290,A100202239
291,A1002033157
292,A1002037317
293,A100203891
294,A1002048411
295,A1002051730
296,A1002074278
297,A100208307
298,A1002088281
299,A1002106024
300,A100210965
301,A1002138206
302,A1002138462
303,A1002142617
304,A1002144876
305,A100215383
306,A10021546
307,A100216629
308,A100217450
309,A100217604
310,A1002182247
311,A1002196166
312,A1002197127
313,A100219814
314,A1002204015
315,A100221011
316,A100221549
317,A1002220805
318,A1002226088
319,A1002243223
320,A100224651
321,A100226099
322,A100226415
323,A1002266716
324,A100227272
325,A1002277097
326,A100228104
327,A1002282237
328,A1002288506
329,A100228851
330,A1002292800
331,A1002294
332,A100229764
333,A1002306758
334,A1002309915
335,A1002319946
336,A100232215
337,A10023259
338,A1002333457
339,A100234339
340,A100234917
341,A1002349876
342,A100237656
343,A100237691
344,A100238711
345,A1002391542
346,A1002395164
347,A1002395759
348,A1002398001
349,A1002398630
350,A1002400870
351,A100240305
352,A1002405941
353,A100240815
354,A100242044
355,A1002422011
356,A100243209
357,A100243869
358,A1002441578
359,A100245595
360,A1002467524
361,A10024679
362,A1002471091
363,A1002475362
364,A100248834
365,A100249880
366,A100250342
367,A100250872
368,A100251271
369,A100252078
370,A100252388
371,A1002528009
372,A100253398
373,A1002541215
374,A100254853
375,A1002555106
376,A1002555610
377,A100255736
378,A100255766
379,A100255783
380,A1002560983
381,A100256474
382,A1002565696
383,A100256609
384,A10025747
385,A1002579430
386,A100260066
387,A1002603726
388,A100261711
389,A1002617539
390,A100261902
391,A1002628347
392,A1002636929
393,A100264418
394,A100265022
395,A1002650415
396,A1002650938
397,A100265300
398,A100265390
399,A100265716
400,A1002657938
401,A1002666101
402,A1002674386
403,A100268439
404,A1002684912
405,A1002685015
406,A100268596
407,A100268615
408,A100271468
409,A1002722633
410,A1002729807
411,A1002731848
412,A100274041
413,A100275353
414,A100275522
415,A1002762331
416,A100277090
417,A100277939
418,A100278302
419,A100279138
420,A1002805135
421,A1002817
422,A1002817114
423,A1002830321
424,A1002842216
425,A100284468
426,A1002861636
427,A100286442
428,A100287202
429,A100290142
430,A1002902972
431,A10029052
432,A1002910004
433,A100292075
434,A1002921006
435,A1002921030
436,A10029226
437,A100293599
438,A100293822
439,A1002942167
440,A1002944472
441,A1002949251
442,A1002950174
443,A1002956724
444,A1002961467
445,A100296268
446,A1002969668
447,A100297290
448,A100298363
449,A100298376
450,A1002984907
451,A1002991939
452,A100299349
453,A1003008407
454,A100301155
455,A1003015338
456,A100301634
457,A1003022340
458,A100302693
459,A1003032302
460,A100303608
461,A1003050529
462,A1003053297
463,A100305938
464,A100306031
465,A1003076752
466,A100308098
467,A100308404
468,A1003091979
469,A100309684
470,A1003111817
471,A100311771
472,A100311851
473,A1003122401
474,A1003149765
475,A1003157987
476,A1003160277
477,A100316540
478,A100317766
479,A100317799
480,A1003180761
481,A100318576
482,A100319030
483,A100319623
484,A1003202121
485,A1003205721
486,A1003211505
487,A1003212465
488,A1003215923
489,A1003217859
490,A100322874
491,A100323146
492,A10032362
493,A1003238311
494,A1003244761
495,A100325771
496,A1003258884
497,A1003260168
498,A100326608
499,A100327174
500,A100327311
501,A1003273140
502,A1003277488
503,A1003282805
504,A100328954
505,A1003295413
506,A100329588
507,A1003304235
508,A1003305060
509,A1003314577
510,A1003315372
511,A100332221
512,A100332320
513,A100333037
514,A1003332668
515,A1003336513
516,A100334909
517,A100336808
518,A1003369894
519,A100337421
520,A1003381414
521,A100339370
522,A10033957
523,A100340571
524,A100340589
525,A1003406777
526,A1003407339
527,A100341437
528,A100341478
529,A1003438857
530,A1003439153
531,A100345200
532,A1003455680
533,A1003457278
534,A100345908
535,A1003461786
536,A1003468828
537,A1003469737
538,A100347872
539,A1003482107
540,A1003504712
541,A1003504897
542,A100350793
543,A1003516849
544,A1003519629
545,A1003521385
546,A1003529781
547,A1003539752
548,A100355454
549,A100356447
550,A1003565396
551,A10035665
552,A1003574820
553,A100358462
554,A1003584902
555,A1003602580
556,A1003609524
557,A1003613749
558,A100363277
559,A1003648203
560,A1003661316
561,A1003667882
562,A1003672069
563,A100368991
564,A1003694430
565,A1003697727
566,A1003703101
567,A1003704228
568,A1003724214
569,A100372964
570,A1003736791
571,A10037420
572,A1003748266
573,A1003750529
574,A100375071
575,A100377206
576,A100377486
577,A100378933
578,A100379185
579,A100379382
580,A1003805542
581,A100381012
582,A100382482
583,A1003828791
584,A100383626
585,A10038407
586,A1003857631
587,A100386046
588,A100386198
589,A1003866314
590,A10038668
591,A1003873364
592,A1003873585
593,A100387445
594,A1003907940
595,A1003908173
596,A1003908719
597,A1003927339
598,A1003936402
599,A100395890
600,A1003961687
601,A1003971734
602,A100397348
603,A100397487
604,A100397646
605,A100398911
606,A1003991800
607,A100399912
608,A100400251
609,A1004005511
610,A100401153
611,A1004016633
612,A100401987
613,A1004025477
614,A100403368
615,A1004041095
616,A100404291
617,A100404614
618,A1004053072
619,A10040581
620,A1004062260
621,A1004080154
622,A100408621
623,A100408920
624,A1004094951
625,A100409502
626,A1004098122
627,A100411373
628,A1004115953
629,A1004116966
630,A1004125181
631,A100412606
632,A1004147698
633,A1004152680
634,A1004166944
635,A1004170904
636,A10041746
637,A100417962
638,A1004188484
639,A1004197425
640,A1004203337
641,A1004204345
642,A1004209158
643,A100421245
644,A100421296
645,A1004223250
646,A1004256764
647,A1004257922
648,A1004263195
649,A100426370
650,A1004278424
651,A1004297411
652,A1004303009
653,A1004318293
654,A100431877
655,A100436552
656,A100436711
657,A100437666
658,A100437793
659,A100438669
660,A100438687
661,A100438716
662,A100439137
663,A1004393746
664,A1004405065
665,A1004416826
666,A1004419422
667,A1004421740
668,A100443169
669,A100443890
670,A100445298
671,A100445682
672,A1004458628
673,A1004472916
674,A100447386
675,A1004483765
676,A100448449
677,A1004490334
678,A1004496722
679,A1004502543
680,A1004506581
681,A1004511890
682,A100451631
683,A1004532062
684,A1004532598
685,A100453854
686,A1004563943
687,A100456489
688,A100456723
689,A100456888
690,A10045854
691,A1004593497
692,A100459711
693,A1004600847
694,A1004601169
695,A1004602597
696,A100461388
697,A100461504
698,A1004624892
699,A1004627798
700,A1004629678
701,A1004637559
702,A1004649526
703,A10046530
704,A1004668032
705,A1004671670
706,A100467660
707,A100468432
708,A1004688912
709,A100468978
710,A1004697325
711,A100470264
712,A100470553
713,A100470858
714,A1004713347
715,A100471506
716,A1004719283
717,A100472298
718,A100474416
719,A1004758757
720,A10047777
721,A1004780285
722,A1004781370
723,A1004783733
724,A1004783772
725,A100478761
726,A1004790785
727,A100479886
728,A1004799317
729,A1004804276
730,A100481068
731,A1004814943
732,A100481766
733,A100482708
734,A100485004
735,A100485045
736,A1004864273
737,A1004866322
738,A100487370
739,A100487557
740,A1004879680
741,A1004881972
742,A1004887663
743,A1004901501
744,A1004918473
745,A1004931759
746,A1004937240
747,A1004943496
748,A100494713
749,A1004948039
750,A1004951296
751,A1004960275
752,A1004969836
753,A100497050
754,A100497328
755,A100497359
756,A100498037
757,A1004980972
758,A100498612
759,A10049871
760,A100498791
761,A100499041
762,A1004993368
763,A1004996706
764,A100499843
765,A100500699
766,A1005007925
767,A1005015
768,A100501602
769,A1005019385
770,A1005041836
771,A100504815
772,A1005050775
773,A1005064353
774,A1005069428
775,A1005077717
776,A1005086158
777,A1005089634
778,A100509615
779,A100510921
780,A100510996
781,A1005110760
782,A100511914
783,A1005122418
784,A100513050
785,A1005133644
786,A1005138419
787,A100517393
788,A1005184209
789,A1005189073
790,A1005189608
791,A100519246
792,A100519435
793,A100520227
794,A1005223290
795,A10052492
796,A100525196
797,A100525789
798,A100526103
799,A100526430
800,A100528046
801,A100531711
802,A100532589
803,A100534562
804,A1005349801
805,A100535171
806,A1005360039
807,A1005360676
808,A10053650
809,A100536560
810,A100536929
811,A100536971
812,A1005370564
813,A10053734
814,A1005373780
815,A100537943
816,A1005381226
817,A1005402383
818,A100540656
819,A1005409179
820,A100541151
821,A100541171
822,A100541179
823,A100542209
824,A1005435410
825,A100544147
826,A100544858
827,A100546098
828,A100546537
829,A1005467020
830,A1005468350
831,A100547143
832,A10054756
833,A1005480322
834,A1005492158
835,A100549476
836,A10055038
837,A100550861
838,A100551702
839,A100552835
840,A1005529011
841,A100553833
842,A1005539834
843,A1005544770
844,A1005547367
845,A1005547804
846,A1005551385
847,A100555673
848,A100556347
849,A100556505
850,A1005579142
851,A100557931
852,A10055841
853,A100558807
854,A1005588643
855,A1005593627
856,A100560139
857,A1005606011
858,A100561499
859,A1005628479
860,A100562892
861,A100563991
862,A1005648486
863,A100566900
864,A100567063
865,A100567317
866,A1005673203
867,A1005691089
868,A1005696624
869,A100569666
870,A1005710719
871,A100571081
872,A1005711784
873,A100571392
874,A100571702
875,A1005730944
876,A100573795
877,A1005740577
878,A1005743908
879,A1005744492
880,A1005746677
881,A100574913
882,A100575672
883,A1005761363
884,A1005765903
885,A100577378
886,A100578645
887,A100578647
888,A1005788787
889,A1005789832
890,A1005791080
891,A1005796965
892,A1005812022
893,A100583097
894,A1005831204
895,A1005835006
896,A1005838280
897,A1005839487
898,A1005839534
899,A100584842
900,A100585334
901,A1005855118
902,A1005876264
903,A100589375
904,A100589481
905,A1005896081
906,A1005906762
907,A100590978
908,A100591345
909,A100591384
910,A100591549
911,A100593692
912,A1005947717
913,A1005949914
914,A100595670
915,A100595748
916,A1005958010
917,A1005959391
918,A100597186
919,A1005972785
920,A1005992183
921,A100600751
922,A100600961
923,A1006014651
924,A1006016620
925,A10060276
926,A1006039823
927,A100605769
928,A1006059465
929,A1006061671
930,A1006068464
931,A1006074126
932,A1006080913
933,A1006083902
934,A100609749
935,A1006105052
936,A100612027
937,A1006121118
938,A100612879
939,A1006129770
940,A100613083
941,A1006136171
942,A100613846
943,A1006145774
944,A1006152856
945,A100616877
946,A1006170963
947,A100617110
948,A100617599
949,A1006195108
950,A1006195930
951,A100620036
952,A1006202167
953,A100620862
954,A1006208647
955,A1006210987
956,A100621219
957,A100621462
958,A1006219839
959,A1006220047
960,A100623750
961,A1006241338
962,A1006251180
963,A1006252842
964,A1006253743
965,A100626164
966,A100626493
967,A100627464
968,A1006275216
969,A100628001
970,A100629229
971,A10062951
972,A100630995
973,A1006311686
974,A1006325063
975,A10063464
976,A100634741
977,A1006350826
